Aleut,Eng
cal-rek,expressway
cal-rek,freeway
ca-manie,withinside 
ca-nak,fire 
ca-nak,flame
can-ganit,squirrel 
can-ganit,red squirrel
can-nent,kisser 
can-nent,mouth
can-nent,mouths
capu-tuk,sick 
ca-sik,box
ca-sik,casket
ca-sik,chest
ca-sik,coffin
cat-gat,bosom
cat-gat,breast
cat-gat,chest
cets-yuk,armature 
chaang,five
chagax̂,western red cedar 
chagax̂,pacific red cedar
chagix̂,halibut 
chahlax̂,clam 
chalax̂,clam 
charie-duk,teasel 
charie-duk,toothbrush
charie-duk,brush
cha-sat,hour 
cha-sat,time
cha-sat,hr
chasix̂,hour 
chasix̂,time
chasix̂,period
chasix̂,while
chasix̂,tide
chataasix,sled 
chataasix,sledge
chataasix,sleigh
chataasix,horse-sleigh
chavichax̂,king salmon 
chavichax̂,quinnat salmon
chavichax̂,Chinook salmon
chax̂,hand 
chaxtux̂,sea otter 
cheaw jak,gong 
cheaw jak,tam-tam
cheaw-jak,gong 
cheaw-jak,tam-tam
chiidax,baby
chiidax,infant
chiidax,kid
chiidax,little sweetie
chiidax,newborn
chiidax,newborn child
chiidax,papoose
chiidax,small insect
chiidax,babby
chiidax,infaneto
chiidax,pikkie
chiidax,babe
chiidax,child
chiknax̂,limpet 
chixtax,rain 
chixtax,pula
chixtax,rain water
chixtax,tinsel icicles
chixtax,methane rain
chixtax,hydrometeor
chngatux̂,sea otter 
chuyux,arm 
chy,gallic acid 
chy,tea
chy-amuk,gallic acid 
chy-amuk,tea
chy-ganik,hour
chy-ganik,time
chy-ganik,watch
chy-ganik,hour
Ci8ixi,knee 
cia-luten,discordance 
cla-inie,heaven
cla-inie,outside
cla-inie,open
cla-inie,under
cla-inie,paradise
cla-inie,sky
cla-inie,Eden
cla-inie,Elysian Fields
cla-inie,Elysium
cla-inie,Shangri-la
cla-inie,sweet hereafter
cla-inie,eden
cla-oahk,livelihood 
cla-oahk,loaf
cla-oahk,staff of life
cla-oahk,baked goods
cla-oahk,pav
cla-oahk,bread
cla-oahk,food
clip-par,livelihood 
clip-par,loaf
clip-par,staff of life
clip-par,baked goods
clip-par,pav
clip-par,bread
clip-par,food
cola baska,ptarmigan 
co-peska,merchant 
co-peska,shopkeeper
co-peska,dealer
comuk-tuk,mad
comuk-tuk,angry
cona-jak,to snore
cong-a,no
cop-rit,to speak
cop-rit,to tell
co-yana,I thank you for what I ate
coup-canie,springe 
coup-canie,scheme
coup-tuk,sick 
crino-etuk,spyglass 
crino-etuk,binoculars
crino-etuk,glass
cuni-umen,toe 
cuni-umen,finger
cup-liku,to spoil
cup-liku,to break
cup-muk,partly 
CXa,full 
damo,shack 
damo,shanty
damo,sliver
damo,squat
damo,structure
damo,barrack
damo,building
damo,construction
damo,dwelling
damo,edifice
damo,fabric
damo,home
damo,house
damo,hut
damo,hutch
damo,place
dax̂,eye 
dax̂,glyph
draas,hello
eklu-ten,liar 
elinec,artiodactyl  
elinec,deer
ela-luko,to pour out
elak-yuk,to carry
elinec,deer
eke,anger
ek-lut,to lie
eme-lik-tuk,abundance 
eme-lik-tuk,completeness
eme-lik-tuk,plenitude
eme-lik-tuk,plentifulness
eme-lik-tuk,plenty
emer-isna,to fill up with water
e-na-ma,who
e-na-ma,how
enak-ten,to undress
e-rut,leg
et-kat,toe 
et-kat,base
et-kat,bottom
et-kat,foot
-ĝdagali-,but
-ĝdagali-,although
haamachiiyax̂,cloudberry 
haamachiiyax̂,bakeapple
hanix̂,lake
hanix̂,loch
hanix̂,mere
haqa,come 
hati-x̂,ten 
hlax,boy 
hlax,bor
hlax̂,boy
huli,leaf 
i-con-eak,sled
i-con-eak,sledge
i-con-eak,sleigh
i-con-eak,horse-sleigh
igasix̂,wing 
igaxtax,fixed-wing aircraft 
igaxtax,aeroplane
igaxtax,aircraft
igaxtax,airplane
igaxtax,flying machine
igaxtax,plane
igax̂tax̂,airplane 
igax̂tax̂,plane
igax̂tax̂,aeroplane
igax̂tax̂,aircraft
iĝyax̂,kayak
iĝyax̂,baidarka
iĝyax̂,kaiak
iĝyax̂,kyak
-iiĝali-,but 
ilgaaĝux̂,octopus
ingiyux,body 
ingiyux,human body
ingiyux,corpse
ingiyux,figure
ingiyux,flesh
inkamiigus,cloud
io-shak,to eat
iqyax̂,kayak
iqyax̂,baidarka
iqyax̂,kyak
iqyax̂,kaiak
i-shor-it,seal
isux̂,hair seal 
itx̂ayax,reindeer 
itxaygix,reindeer 
iyĝax̂,kayak
iyĝax̂,baidarka
iyĝax̂,kyak
iyĝax̂,kaiak
kaCi,breast
kanuux̂,heart
kdax̂,ice
kitax̂,tarsus
kitu,louse
kixusi,tooth
kukax,grandmother
kukax,grannie 
kukax,granny
kukax,nana
kukax,nanna
kukax,gran 
kukax,meemaw
kukax,oma
kukax,grandmom
kukax,grandmammy  
kukax,beldame
kukax,grandam
kukax,grandmamma
kukax̂,grandmother
laaqudax̂,fur seal
lakuq,northern fur seal
lam-bak,lamp
lam-bak,light
lam-bak,flashlight
la-mie,jacket
la-mie,paletot
la-mie,coat
la-patka,shovel
latux,grandfather
latux,paternal grandfather
latux,maternal grandfather
latux,grandpapa
latux,grandsire
latux,grampa
latux,granpappy
latux,belsire
latux,grandpappy
latux,zayde
latux,gramps
latux,granddad
latux,grandma
latux,grandmother
latux,grandpa
la-yik,goose
layik-shuk-tie,hunt
layik-shuk-tie,hunting
layik-shuk-tie,shikar
lingen aka,joking
lingen aka,present participle of to joke
lividriiqax̂,mottled petrel
lkiXusi,mountain
luma-han,shirt
luma-han,skirt
luma-han,T-shirt
luma-han,T-Shirt
lu-shaka,spoon
ma-gut,to see
ma-gut,to look
ma-linkie,lower-case
ma-linkie,small 
ma-linkie,tenuous
ma-linkie,weeny
ma-linkie,adynamic
ma-linkie,pocket-handkerchief
ma-linkie,debilitated
ma-linkie,feeble
ma-linkie,forceless
ma-lish-ie,to cross
ma-lish-ie,to bless
mallie-tuk,hammer
mallie-tuk,malleus
malt-jiska,bor
ma-na,that
ma-na,this
ma-na,here
man-tenka,lard
man-tenka,saim
ma-shin-ak,machinery
ma-shin-ak,mechanism
ma-shin-ak,motor
ma-shin-ak,engine
mats-jaro-alik,wolverine
mats-jaro-alik,Gulo gulo
me-lak,soap
me-lak,compo rations
me-lak,cake of soap
men-nuco,quite
men-nuco,very
men-nuco,many
men-nuco,much
men-nuco,to the max
men-nuco,as hell
men-nuco,as anything
men-nuco,as all hell
men-nuco,as fuck
men-nuco,all that
men-nuco,astonishingly
men-nuco,frighteningly
men-nuco-elatta,Happy New Year
mia,up
mia,above
mikal,to play
min-nuko,plenitude
min-nuko,plentifulness
min-nuko,plenty
min-nuko,abundance
min-nuko,completeness
min-gee,I
min-gee,me
misiisix̂,arctic fox
mit-kalie,sheeting
mo-ruk,lumber
mo-ruk,timber
mo-ruk,wood
mo-ruk,balsa
mu-kak,flour
mu-kak,panada
muluuskax̂,cloudberry
muluuskax̂,bakeapple
mu-shuk,moneybag
mu-shuk,pouch
mu-shuk,bag
mus-lik,shortcake
mus-lik,colcannon
mus-lik,butter
na-pak-tet,stick
na-pak-tet,pole
na-pak-tet,mast
naru-vik,whetstone
na-shuk,top
nat-loun,I don't know
na-tuta,gun
na-tuta,rifle
na-tuta,scattergun
na-tuta,shotgun
nidilix̂,week
nipa-lima,to extinguish
noo-lun,now
noo-lun,these days
noo-lun,at this moment
noo-lun,in time
nu,stone
nu-jat,hair
nu-jat,pelage
nu-jat,pelt
nu-jat,pilus
nu-jat,yure
nu-jat,riah
nu-jat,fur
nu-jat,dust bunny
nu-shuk,knife
nu-shuk,shiv
nu-shuk,short sword
nu-shuk,eating irons
nu-shuk,cutter
nu-shu-shuk,scissors
nu-tun,today
ok-man-nie,outside
ok-man-nie,out-of-doors
ok-man-nie,al fresco
paltux̂,coat
paltux̂,cloak
paltux̂,mantle
paltux̂,cape
pistol-tak,revolver
ptxitax,cod
ptxitax,bank cod
puzaalusti,please
qa,fish
qaanku-n,three
qachun,go that way
qacikux,dogfish
qacikux,shark
qaCXi,skin
qaĝaalakux̂,thank you
qagaasakuq,thanks a million
qagaasakuq,thanks a bunch
qagaasakuq,thank you very much
qagaasakuq,thank you
qagaasakuq,cheers
qagaasakuq,ta
qagaasakuq,thanks
qagaasakuq,thanks a lot
qaĝaasakuq,thank you
qagalgiq,nail
qagidax̂,horned puffin
qaglaax̂,crow
qaglaax̂,raven
qagmangix̂,emperor goose
qahngux̂,seaweed
qahngux̂,alga
qahngux̂,wrack
qakiidax̂,coho salmon
qakiidax̂,silver salmon
qakiiyax̂,coho salmon
qalgaax̂,crow  raven
qalngaaĝin kriistaa,starfish
qalngaax̂,crow
qalngaax̂,raven
qam aagaluuĝii,coho salmon
qamchiing,eight
qamtix̂,shoulder blade
qanaq,winter
qanglaaĝix̂,crow
qanglaaĝix̂,raven
qanglaax̂,crow
qanglaax̂,raven
qanglix̂,shoulder
qaniigix,snow
qaniigix,grouser
qaniigix,snowshower
qaniigix,snowfall
qaniigix,gnar
qaniigix̂,snow
qaniix,snow
qaniqax̂,snow
qasiiqux̂,chiton
qatxayax̂,winter wren
qavax̂,sea lion
qawax̂,sea lion
qax̂,fish
qaxna,bone
qee-enaduk,welcome
qida,cry
qida,weep
qignax̂,fire
qigugix̂,common loon
qigux̂,common loon
qiigax̂,grass
qiigax̂,herb
qilachxizax,good morning
qilax̂,morning
qimgiitax̂,crab
qixma,fire
Quga-x,a spirit
que-elat,dance
que-elat,festival
que-elat,celebration
que-elat,memorialisation
que-elat,festivity
que-elat,festivities
que-elat,festiveness
que-elat,memorialization
rakik-vit,arrow
rap-kie,black
rap-kie,burned-out
re-ik-tik,stocking
rifet-anak,rifle
rifet-anak,air gun
rifet-anak,gun
russu,rifle
russu,air gun
russu,gun
s8a,star
sabaakax,dog
sabaakax,hound
sabaakax,gos
sabaakax,watchdog
sabaakax,K-9
sabaakax,canine
sabaakax,canid
sadagunix̂,trout
sagakux,sleep
sagakux,slumber
sagakux,kip
sagakux,roost
sagakux,catnap
sagakux,drowse
sakitax̂,common murre
sax,bird
sax̂,bird
sa-yak,fish
sa-yak,salmon
sa-yak,kebab
sa-yak,fafrotskies
sea-des,to sit down
Schuel,school
sdax̂,star
shak-shak,to drink
shak-shak,to clean
shak-alak,
shakola,swan
shinor-huk,day
shis-lak,almanac
shis-lak,date
shit-dinkie,pancetta
shit-dinkie,salt pork
shit-dinkie,club sandwich
shit-dinkie,butty
shuko-lenik,bickie
shuko-lenik,bicky
shuko-lenik,cookie
shuko-lenik,biscuit
shuk-tie,hunting
shuk-tie,shikar
shuk-tie,hunt
shuk-tie,hunting
sichiing,nine
sichi-n,four
siisx̂ix̂,nosebleed
simsix̂,chest
singdax̂,coxal bone
singdax̂,hip bone
sisax̂,hundred
skal-tuk,skillet
skal-tuk,frying-pan
skal-tuk,frypan
skal-tuk,fry-pan
skal-tuk,fry pan 
skal-tuk,frying pan
skoo-nik,chyle
skoo-nik,goblet
skoon-ik,wherry
sla-bak,tit for tat
sla-bak,bonnet
sla-bak,coif
sla-bak,hat
slagux,wind
slukax̂,sea gull
snik,cold
snik,winter
snik,year
sol-da-tat,serviceman
sol-da-tat,soldier
sol-da-tat,warrior
sol-da-tat,sojer
spit-ska,match
stu-lik,table
stuulux̂,table
sumgax̂,king salmon
Sunntig,Sunday
taadmaayux̂,flounder
taangax̂,water
taĝa,but
ta-go-ga,bear
-tagali-,but
tak-shit,projectile point
taNa,drink
taNa,water
tanax̂,Earth
tanax̂,island
tanax̂,isle
ta-nuk,tidewater
ta-puluk,hatchet
taria-kuk,king salmon
taria-kuk,chinook salmon
taria-kuk,Oncorhynchus tshawytscha
tarik-uk,sodium chloride
tarik-uk,salt
tar-link,little woman
tar-link,lady
tar-link,madam
tar-link,missus
tar-link,Mrs
tar-link,old woman
tar-link,signora
tar-link,spouse
tar-link,squaw
tar-link,bride
tar-link,wife
tar-link,woman
tar-link,Mrs.
tar-link,Frau
tar-link,Miss
tar-link,Ms
tar-link,Ms.
tar-link,wifey
tar-link,female
tar-link,femme
tar-link,girl
tauk-ru,listen!
tauk-ru,look here!
tawia,enough
tax̂,but
taxa8a,new
tayagigux̂,two-spirit
te-ire-duk,to go away
tia-cia-lou,what do you say?
tia-ens-lou,what do you want?
tick-hue,put it down
tiN,I
tinkie,means of payment
tinkie,money
tinkie,currency
tinkie,ackers
tinkie,dead presidents
tinkie,simoleons
tinkie,bread
tinkie,pingas
tinkie,Fedzilla
tinkie,smackeroonies
tinkie,bees and honey
tinkie,mazoola
tinkie,skrill
tinkie,gelt
tix̂lax̂,eagle
toa-lutten,to go home
tous-jik,plate
truth-ka,pipe
truth-ka,main pipe
truth-ka,plumbing
truth-ka,duct
truth-ka,drain
truth-ka,tubing
truth-ka,water main
truth-ka,main pipe
tueb-jouski,lass                                        
tueb-jouski,lassie
tueb-jouski,gal
tueb-jouski,little girl
tueb-jouski,maid
tueb-jouski,fille
tueb-jouski,miss
tueb-jouski,missy
tueb-jouski,daughter
tueb-jouski,wife
tueb-jouski,woman
tueb-jouski,batrachian
tueb-jouski,baby girl
tueb-jouski,Miss
tueb-jouski,colleen
tueb-jouski,salientian
tueb-jouski,emancipatrix
tueb-jouski,translatrix
tueb-jouski,guardienne
tueb-jouski,girlie
tueb-jouski,girl
tugidax,moon
tugumaĝix̂,beach
tukux̂,leader
tukux̂,boss
tukux̂,chef
tukux̂,chief
tukux̂,head
tul-ril-nik,mighty
tul-ril-nik,puissant
tul-ril-nik,mightful
tuman,we
tun-tun,moose
tuta,hear
tutukux̂,snail
tutusi,ear
tutusix,ear
tutusix,ears
tuzaangas,strawberry
tuzaangas,love bite
tuzaangas,strawberry red
tuzaangus,love bite
tuzaangus,strawberry red
tuzaangus,strawberry
txin,you
ty-on,king
ty-on,monarch
u-bou-gik,grass
uct-nactuk,hot
uct-nactuk,warm
udax̂,bay
u-dit,pearlies
u-dit,teething
u-dit,choppers
u-dit,chompers
u-dit,gnashers
ugix̂,mate
ugix̂,spouse
ugix̂,husband
uku,see
ulaĝin,common bearberry
ulax̂,house
uluung,seven
uluxtax̂,kayak
uluxtax̂,baidarka
umsu,tongue
umyux̂,sponge
u-na,lionhearted
u-na,mettlesome
u-na,doughty
u-na,daring
u-na,stalwart
u-na,brave
u-na,uncowardly
Unangam Tunuu,Aleut
Unangam Tunuu,Unangax̂
Unangam Tunuu,Unangan
Unangam Tunuu,Unangas
Unangam tunuu,Aleut
unangan,Aleut
unangan tunguu,Aleut
unangan umsuu,Aleut
Unangax̂,Aleut
Unangax̂,Aleutian Aleut
Unangax tunuu,Aleut
uqdux̂,feather
us-kanat,rabbit
ut-jank,pearlies
ut-jank,teething
ut-jank,choppers
ut-jank,chompers
ut-jank,gnashers
ut-ruks,pantaloons
ut-ruks,panties
ut-ruks,pants
ut-ruks,slacks
ut-ruks,trousers
ut-ruks,bloomer
ut-ruks,Alan Whickers
ut-ruks,chuddies
ut-ruks,cajones
utux̂,sea anemone
uuĝmikaadax̂,bluefly
uuquchiing,arctic fox
uuquchiingix,blue fox
uuquchiingix̂,blue fox
uxchux̂,tufted puffin
uyaalix̂,jellfish
uyux̂,neck
waygix̂,blue mussel
wia,here
wia,where
wia,there
wia,right
wia,thither
wia,thor
xliimax̂,bread
yax̂,glyph
yax̂,eye
yaxa,tree
8a,eye
